
### 场景 THR0（种子数 1；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
| M0(现方案) | 0.1301 | 0.1295 | 0.0000 | 0.2944 | 464 | 371 | 0.395 | 53037 | 0 | 3145.1 | 0.145 | - |
| EVT(消融) | 0.1870 | 0.1862 | 0.0799 | 0.3201 | 192 | 33 | 0.414 | 11556 | 0 | 9170.2 | 0.179 | - |
| PIv b=0.5 | 0.1166 | 0.1156 | 0.0135 | 0.1951 | 288 | 190 | 0.541 | 57148 | 0 | 1745.7 | 0.302 | - |
| PIv b=1 | 0.1187 | 0.1160 | 0.0135 | 0.1670 | 288 | 187 | 0.955 | 57797 | 0 | 2091.2 | 0.297 | - |
| PIp b=0.5 | 0.1007 | 0.1008 | 0.0000 | 0.1826 | 275 | 202 | 0.592 | 6023 | 58398 | 83.5 | 0.261 | - |
| PIp b=1 | 0.1000 | 0.1002 | 0.0125 | 0.1469 | 288 | 192 | 0.894 | 77 | 59605 | 0.0 | 0.286 | - |
| WB-PI kP=200 | 0.0991 | 0.0994 | 0.0118 | 0.1205 | 222 | 192 | 2.043 | 77 | 79338 | 0.0 | 0.295 | - |
| WB-PI中点 kP=200 | 0.0991 | 0.0994 | 0.0118 | 0.1205 | 218 | 192 | 2.045 | 29 | 80101 | 0.0 | 0.296 | - |
| PIpCI b=0.5 | 0.1158 | 0.1166 | 0.0135 | 0.1958 | 288 | 218 | 0.542 | 59392 | 51538 | 1663.4 | 0.311 | - |
| ANCH | 0.0998 | 0.1001 | 0.0399 | 0.1601 | 192 | 86 | 0.414 | 5833 | 0 | 4540.3 | 0.129 | - |
| TTS | 0.1017 | 0.1021 | 0.0115 | 0.2385 | 384 | 99 | 0.446 | 8191 | 29451 | 210.4 | 0.298 | - |
| BLEND c=0.25 | 0.1174 | 0.1169 | 0.0167 | 0.1531 | 192 | 20 | 0.101 | 8909 | 0 | 1805.7 | 0.174 | - |
